id,title,content,tags
23,f oss optical object avoidance,i am beginning work on a larger scale          lbs wheeled robot and looking to use both optical and other means of object avoidance  i am concerned with a robot this large causing issues with running into things  including people as it has a top speed of   mph and that would cause issues with safety  i am starting out with a remote control but am looking to have the robot become self contained  i have been loosely following the darpa driver less car project but will not have anywhere near the fiscal or power budget that they do for sensors and computers  am i thinking to far afield with my idea of having a self contained robot in the         lbs range that does not break the bank on optical object avoidance  any comments or experiences will be greatly appreciated  ,computer-vision wheeled-robot
25,how to choose the right propeller motor combination for a quadcopter ,there are many sites which explain briefly this problem and even propose combinations  i however would like a much more detailed explanation  what is going to give my quad the most agility  do i need bigger motors props in a heavy quad to achieve the same level of agility than in a lighter quad  edit  here is what i have understood on the subject   a quadcopter doesn t need high revving motors as there are   propellers providing thrust and high revving motors require more battery power  larger propellers give more thrust per revolution from the motor   the question is focused more on the general characteristics of various combinations but some specific questions do spring to mind    for a given combination what would be the effect of upgrading propeller size in comparison to installing higher revving motors  what changes would need to be made to lift a heavier quad  how can i achieve more agility in my quad   ,quadcopter
26,cheap web to buy robotic pieces from,i love computer programming  and if i can interact with the world programming  it s even better  i used to steal them from school  and make little robots that bounce when collided with a wall  but i want to go further  but i don t have the needed pieces  and i don t know any good place to buy pieces   like servos  etc  either  also  i m spanish  so if the page can sell to places in spain  even better  i would highly appreciate your help  aritzh ,servos
37,mobile robot localization in a known map,i want to localize a mobile robot equipped with a  d laser scanner in a known indoor environment   the map is a  d occupancy grid  but is not perfect  what algorithms are appropriate for mobile robot localization  ,localization mobile-robot
39,i d like to use gesture based input for my robot  what are the pros and cons between the xtion live and the kinect ,as in the title  i d like to implement gesture recognition on my robot and i m looking for the pros and cons between the kinect and the xtion   and also if there are any other sensible options available  i m thinking of the following  but open to other suggestions   accuracy price driver quality power draw  ,kinect input
42,what tyre tread would be best suited to an off road robot expected to deal with frequently muddy conditions ,i m looking to potentially build an autonomous robot that will frequently venture off road  and remain autonomous for up to   hours at a time  i ve found limited information however about the best tyre tread for this purpose  what could be most suitable  i m especially looking for a tread pattern that won t need regular cleaning  to save setting this up automatically  a tread that gets  clogged  very quickly clearly won t be that effective at tackling tough terrain autonomously   ,wheel
43,what algorithm should i use for balancing a two wheeled robot using a gyroscope ,is there a good  popular and reliable algorithm i can use by taking input from a gyroscope and using this to control two independant wheels to keep such a balanced robot reliably upright  i m looking for an algorithm that will let me use it to drive a robot around as well as keep it upright when stationary  the ability to deal with inclines and people nudging it would also be a bonus  but not essential  ,control gyroscope balance two-wheeled
44,choosing the right dimensions for an underwater glider,i m looking to potentially build an underwater glider  a type of submarine that s slow but can operate on extremely low power draw  however  in order for it to work effectively i ve found several sources hinting that the dimensions of the components  especially the wings  are critical to its success  however  i ve found very sparse information about what these dimensions should be  i m happy to do a bit of trial and error if it comes down to it  but to save some work does anyone have any information on what the critical dimensions should be  ,design underwater auv
46,what s the most effective type of rechargeable battery when taking into account size   weight   ah ,i m looking to build an underwater glider robot that will need to remain autonomous for long periods of time  perhaps even months  power draw should be minimal  and i m thinking of including some form of charging device  such as a solar charger  however i d also like the battery capacity to be large enough so i don t hugely need to worry about this  large current draw isn t really needed  but the battery does need to hold its charge effectively for long periods of time  considering this is an underwater vehicle  weight and size are also a concern  cost isn t too much of an issue  as long as it s within reason of a hobbyist project  i am looking to understand the pros and cons of each technology  lead acid  lipo  nicad  fuel cell    so i can decide what type of battery would be best suited to my purpose  as such  i m looking at battery technology rather than looking for a specific shopping recommendation  ,underwater battery auv
48,how can i best protect sensitive components against damage through vibration ,it s common for components on some types of robots to experience large environmental stresses  one key one being vibration  is this something i need to worry about with typical electronics and other sensitive components  or not really  if it is  then how do i secure such components   i ve heard of two main philosophies behind this  the first being that you should use a damping system such as with springs to absorb the shock  the second is that you should keep everything rigidly in place so it can t move  and therefore can t hit against anything else and break  which one should i follow  or if the answer is  it depends  what should i use as a guide as to best protect sensitive components  ,electronics protection
49,what s the most accurate way to obtain a locational fix using gps ,obviously gps is the most obvious and accessible technology for obtaining a locational  fix  for a robot at any particular time  however  while it s great sometimes  in other locations and situations it s not as accurate as i d like  so i m investigating whether there s a relatively easy way to improve on this accuracy  or not  if that turns out to be the case   i ve considered the following options  but found limited information online   would using a much better antenna help  especially for low signal areas  i m thinking yes to this  but if so how would i construct such an antenna and know that it s an improvement  are there any good guides on how to do this  i could use a ready made antenna if they re not too expensive  would using multiple separate receivers in tandem help  or would they likely all be off by a similar amount  or would i not be able to extract a meaningful average with this approach  what sort of characteristics should i look for when choosing a good gps receiver to help accuracy  is there anything else i should consider which i ve missed   ,localization gps
53,what algorithm can i use for constructing a map of an explored area using a number of ultrasound sensors ,ultrasound sensors are incredibly cheap these days which makes them a popular choice for many hobbyist robotic applications  and i d like to use a bunch of them  say     around a robot with an algorithm to build a rough map of an area  as the robot explores it   i m not interested in dealing with moving objects at this stage  just pinpointing stationary ones  and i ll be using gps for location  i realise that other components such as a laser scanner would produce much more accurate results  however such devices are also astronomically more expensive  does an algorithm exist for this purpose  ,slam localization gps mapping acoustic-rangefinder
55,adding external heat sinking to a dynamixel rx   f servo ,hobby servos are generally not sufficient for real robotics for a number of reasons  quality  precision  range of motion  torque  etc  meanwhile  industrial servos  such as abb  emerson  ge  etc  are generally both heavy and expensive  and not suitable for small humanoid scale actuation  similarly  building your own servo from motors  gearboxes  and encoders  is akin to trying to design your own cpu just to control a motor    too much detail getting in the way of real work  there exists an in between level of servos    reasonably priced  reasonable performance  and reasonably controllable    in the form of the competing brands of dynamixel and herculex servos  the smallest offerings in those lines generally are not strong enough for real world interaction  but the next step up hold a lot of promise  for the robotis dynamixel line  this is the rx   f servo  priced between the cheap ax   f and the next step up the mx   r   asking around  it seems that the specs and interface on that servo is great  but that it shuts down from thermal overload if you actually try to run it at rated load    something that i d expect from a hobby servo  but not a robotics servo  now  stepping up to the mx   r doubles the price  thus  if the rx   f heat flaw could be fixed  it would be positioned at a nice price performance point  does anyone have experience in providing additional cooling for this servo  anything from thermal gluing heat sinks to the case  to drilling holes and running cooling fluid tubing to any hot parts on the interior would be reasonable approaches  however  before i spend significant time and effort investigating this  i d like a second opinion    is it possible  does anyone have experience doing this  is it worth it  ,servos heat-management cooling
57,how can i detect if a dc motor on a robot is starting to fail ,what characteristics can i look for which could be reliable early warning signs that a dc motor on my robot  say one used for the drive  could be failing  i m looking for an answer that deals in terms of sensors rather than manual inspection  so a circuit could be constructed to warn of a potential failure before it happens  i have a few ideas such as an increase in current draw or decrease in rotation speed   voltage  but i want to guard against false warnings caused by reasonable wear and tear  or just the robot struggling on tough terrain  obviously such a system will never be foolproof  but are there any points i can look out for  ,sensors failure motor
60,is it possible to both move and stabilize a two wheeled robot with no gyroscopes ,with two wheeled robot like this one  i have managed to stabilize it while keeping it stationary  this was done using a digital feedback control system by reading the position of the wheels to determine position  and the natural back electromotive force from the wheel motors was used in the feedback loop to determine velocity  it was kept stable with a pid controller  which was designed using a root locus algorithm to keep it stable and modulate the performance parameters  such as percent overshoot  settling time  etc    i wanted to attempt to keep it stable while simultaneously propelling it forward  but i couldn t figure out how to go about designing a linear controller that could do that  is it possible to both propel the robot forward and keep it stable using a feedback controller on the wheels  or is a gyroscope necessary  ,two-wheeled stability
65,calculating the efficiency of mecanum wheels,i m part of a first robotics team  and we re looking into using mecanum wheels for our robot  what are the advantages and disadvantages of using mecanum wheel versus regular ones  from looking through google  it looks like mecanum wheels give more mobility but don t have as much traction  are there any other advantages or disadvantages  compared to regular wheels  are mecanum wheels less efficient or more efficient in any way  and if so  is there a quantifiable way to determine by how much  are there equations i can use to calculate efficiency  or inefficiency  and or speed of moving forwards  sideways  or at arbitrary angles  a picture of a robot with mecanum wheels   ,mobile-robot design movement wheel first-robotics
75,using an arduino to control an on   off connection between two pins,i ve got this driver       a a     stepper motor driver carrier  i m attempting to control a connection between the reset and sleep pins with logic   code   running on my arduino  the motor runs perfectly when these two pins are connected however i d like to control when the stepper is powered off from my arduino   and thus not generating extra heat   i d like to   designate a pin to control the connection between these two pins use a  digitalwrite  to the above pin with a high or low to switch power on and off from the stepper  note  the data sheet mentioned that for the driver to be powering the stepper both reset and sleep needed to be in switched on   high   ,arduino logic-control stepper-motor stepper-driver
85,shape memory alloy wire for robot gripper arm actuation  how to vary grip pressure ,for a robotic gripper arm we are designing for factory floor use on very small components  we propose to use electrically activated shape memory alloy  sma  wire harnesses for actuation   the device being designed is akin to pick   place machines used for circuit assembly  but moves over an aircraft hanger sized work surface on wheels  it manipulates irregular shaped and porous objects between     cu cm and   cu cm each   hence the traditional vacuum p p mechanism does not appeal  also  individual objects in the assembly line have varying hardness and weights  our design constraints are    ensuring minimal to zero vibration and sound  using minimal volume within the mechanism  batteries are at the wheelbase  providing stability  so their weight is not a concern  fine variation of gripper pressure  we believe sma meets the first two constraints well  but need some guidance on achieving constraint    i e  different levels of pressure of the gripper controlled electronically  my questions   can pwm of a current above the activation threshold      ma for       inch flexinol ht  provide variable  repeatable actuation force   would we need pressure sensors on each fingertip and a closed loop control for grip  or can the gripper be calibrated periodically and maintain repeatable force  is there any well documented precedent or study we should be referring to   ,mobile-robot
88,mechanical design for motorized spherical caster wheels,design goal is to have a mobile robot that operates on   large casters  essentially   to   inch diameter steel ball bearings  that are motorized  no other mechanism would touch the surface  the robot should thus be able to move in any xy direction on a flat surface  with steering being achieved by varying the speed and rolling direction of these wheels  the robot has no designated  front  side  so it does not need to  and should not have to  bodily turn  in order to move off in any given direction   conventional wheels or tracks are not the preferred approach   looking for suggested mechanical layouts of multiple rubber wheels  pressing down onto the steel ball from within the castor housing  to drive the ball in any direction  a single wheel on a stepper  rotated around the vertical axis using a sail winch servo  is one approach under consideration  would this be ideal  or are there any serious flaws in this approach  alternatively  is there any other suggested method of driving such a steel ball in any arbitrary direction under electronic control  ,servos mobile-robot stepper-motor
91,what determines the amount of noise an actuator produces ,many robots and other mechanical devices produce the signature whirring noise as they move  some produce less  what makes the difference  what restrictions a silence requirement places on a robot  ,motor actuator noise
93,what bldc servo drive takes sinusoidal hall sensor signals ,i am looking for a servo drive to control a brushless dc motor  with at least   a    v rating  however  i want to know if any exist which take sinusoidal hall sensor signals directly  i already know there are servo drives taking hall sensor pulses  with   different phases   but that is trapezoidal control  note  a servo drive includes the driving electronics  no additional transistors required   ,brushless-motor hall-sensor
94,developing for   bit avr s  what are the current  open and free libraries out there ,i would be very interested to ask for a list of repos of free open code  applicable to   bit avr s and having relation to robotics   object avoidance  process controllers  battery management  etc  this would be of huge help for me  preventing me from wasting weeks and months to invent the wheel  ,software microcontroller
99,how to manage interrupts on an avr ,i have a number of interrupt service routines on an avr  these include interrupts for usart serial communication  timers  and spi communication  for all of these  i use circular queues  using a start and end pointer  without boundary checking   some problems start to occur if the avr starts to get overloaded  the circular queues will lose chunks of data  to solve this  i can reduce the load on the avr  for example  by skipping some cycles in the timer   however  this is a manual process  where it is reduced if the avr appears to have problems  this is partly because i do want relatively consistent timer periods  however  even at     average processor load  the queues can fill up randomly by chance  in case of spurious overloading at times  how can i make this more adaptive to avoid queue overflows  ,microcontroller avr interrupts
100,what connectors are most reliable ,if you have used connectors for signal wiring for any length of time  you may find that they are unreliable  specifically  i find these to be unreliable when used for a long time  with a number of disconnections and re connections   this is due to the loss of springy ness of the crimped metal end on the wire  which causes contact problems  which connectors  with rapid connection time  are reliable for multiple re connections for simple signal wiring  this excludes screw terminals and connectors with screws  eg  d subminiature connectors   because they are not simple plug in connectors  ,wiring
106,what is a suitable model for two wheeled robots ,what is a suitable model for two wheeled robots  that is  what equations of motion describe the dynamics of a two wheeled robot  model of varying fidelity are welcome  this includes non linear models  as well as linearized models  ,mobile-robot two-wheeled
112,how should emergency stops be wired ,emergency stops are obviously a good idea on most robots  how should they be wired   what systems should be killed immediately  and what should stay working  ,mobile-robot errors
113,how to model the noise in a range sensor s return ,range sensors  for example sonar  infrared  and lidar  are notoriously noisy   how can i characterize the noise characteristics to include these in a probabilistic localization sensor model  ,sensors noise
117,what is the difference between   point and   point connectivity in graph based planning ,in graph based planning  say  a    states are connected to their neighbors   how should one decide whether to connect to the   neighbors or the   neighbors   what are the pros and cons of each approach  ,motion-planning artificial-intelligence planning
118,properly flashing the firmware on a lego mindstorms nxt,i am attempting to upload a custom firmware to a lego mindstorms nxt and am having issues  first of all  i m attempting to use nxtosek  which would let me run c   programs on it   the problem is  everytime i put it into firmware update mode  the download doesn t seem to actually occur  what i mean by this is that  according to the output in my terminal  both mac and windows   the download was successful  however when the nxt reboots  i still see the normal logo  not nxtosek   so  what i m doing is first holding down the  button for a few seconds  then hitting the orange button  giving me that tic tic tic sound   then i run the firmware update  either using the windows nexttool or mac osx gui nexttool  and attempt the download   i get a success message  yet the robot is still using the old firmware  what could be the cause of this problem and how can i solve it  ,mindstorms nxt
119,is it better to have weight distributed over the wheels or the center of the robot ,when designing a standard   or   wheel robot  is it better to have the weight distributed primarily in the center of the robot  or over the wheels  or is there no difference  specifically  which weight distribution will make the robot less likely to tip over  ,mobile-robot design stability wheeled-robot
128,how mature is real time programming in robotics ,edit  i don t know why  but this question seems to be confusing many people  i am aware of when where why how to use real time  i am interested in knowing whether people who have a real time task would actually care enough to implement it in real time or not  there s no need to mention why real time operations are important for a robot  my question is however  how much is it actually used in robotics  take this question for example  only one answer mentions any platform with real time capabilities  and it is far from the top too  ros apparently  being a very popular platform which is not real time  in the real time world however  rtai  seems to be the only workable free real time platform of use  it is however  limited to linux  no problem   badly documented and slowly developed  so  how much is real time behavior sought after among robotics developers  the question is  how much are developers inclined to write real time applications when real time behavior is actually needed  if not much  why  for example  reflexive behavior based on tactile data  cannot go through ros because it would lose its real time property  but do people really come up with a real time solution or use ros anyway  ignoring the real time property    or similarly xenomai ,software platform real-time
131,connecting two microcontrollers using i c,i have an atmega   mc which is master on the i c and a atmega  mc which is slave on the i c  i have connected the two mcs  sda and scl ports to each other alongside a pullup resistor  now i want to read a register from the atmega  using the atmega     the problem is that i don t want to assign all the variables manually  is there any libs or headers that will do this thing for me  ,software microcontroller i2c
138,mathematical prerequisites for beginning graduate student in robotics,a beginning graduate student in robotics asked me the areas of mathematics that he should brush up on  prerequisites  to begin a masters research program in robotics  what are some good materials books that are indispensable for a research student  which ones should we suggest in order that the student develops a solid foundation in robotics  ,research
142,technology behind kiva systems mobile robots,what kind of sensors and algorithms are the mobile robots of kiva systems equipped with   ,mobile-robot industrial-robot
143,how do i calculate the required loop frequency for a servo controller ,i have a motor which drives a string connected to a load cell  i would like to implement a closed loop controller to control the load applied by the motor to the string   how do i go about determining the required loop frequency in order to create a stable control system  is it something like the nyquist frequency  where the loop speed should be at least twice the highest frequency inherent in the mechanical system  ,control motor force
146,what rail material is best used for linear bearings ,for the  d printer reprap prusa there are several rails  smooth rods  that guide the printer head on the different axises  the printer head uses several linear bearings to glide along the rails   there isn t any specification on what kind of material would be best suited for this purpose with the linear bearings  my first assumption would be for stainless steel because it won t corrode  rust  on the surface  but i m not sure if this is true for all printers  whether they are  d printers or not  as a different material may allow the linear bearings to glide more easily  aluminum would have been my second choice but i have the same reservations of which grade would be least resistant   this resource has some limited information but does not help with which would be best suited for this particular application  what material is best suited for this purpose  ,reprap 3d-printing linear-bearing
148,detect nao robot in kinect,i am not sure if this has been tried before but i am trying to use kinect and detect gestures made by the nao robot  i have made a kinect application  a gesture based picture viewer and it detects humans fine obviously it does   what i wanted to try was  lazy as i am   to see if i could use some  say  voice  command to tell the nao to do a swipe right gesture and have my application identify that gesture  the nao can easily identify my command and do some gesture  the problem however is  when i put the nao in front of the kinect sensor  the kinect does not track it   what i want to know is  are there some basics behind kinect s human body motion tracking that essentially fails when a robot is placed in front of it instead of a human  ps  i have kept the nao at the right distance from the sensor  i have also checked if the entire robot is in the field of view of the sensor  edit  this has been posted on stackoverflow and on msdn by me so as to target a large audience as this problem has not been encountered by anyone in the past  ,kinect
150,preventing leaks in motor shafts for underwater bots,whenever building an aquatic bot  we always have to take care to prevent leakages  for obvious reasons  now  holes for wires can be made watertight easily  but what about motors  we can easily seal the casing in place  and fill in any holes in the casing   but the part where the axle meets the casing is still left unprotected    water leaking into the motor is still quite bad  i doubt there s any way to seal up this area properly  since any solid seal will not let the axle move  and any liquid seal  or something like grease  will rub off eventually  i was thinking of putting a second casing around the motor  maybe with a custom rubber orifice for the shaft  something like  forgive the bad drawing  not used to gimp    this would probably stop leakage  but would reduce the torque rpm significantly via friction  so  how does one prevent water from leaking into a motor without significantly affecting the motor s performance   to clarify  i don t want to buy a special underwater motor  i d prefer a way to make my own motors watertight  ,motor underwater auv protection
154,fixed point arithmetic on microcontrollers,often we use microcontrollers to do things in our robots  but need to make some calculations in decimal  using floating point variables is very slow  because a software floating point library is automatically included  unless you have a high end microcontroller   therefore  we generally use fixed point arithmetic  whenever i do this  i just use an integer  and remember where the decimal place is  however  it does take some care to ensure that everything is consistent  especially when calculations involve variables where the decimal point is in a different place  i have implemented a fixed point atan  function  but because i was trying to squeeze every last drop of limited precision     bits   i would often change the definition of where the decimal point is  and it would change as i tweaked it  in addition  i would have some constants  as a quasi look up table  which themselves have an implied decimal point somewhere  i want to know if there is a better way  is there a library  or set of macros  that can simplify the use of fixed point variables  making multiplication and division between mixed variables easier  and allowing declaration of decimal numbers or constant expressions  but automatically converting to the desired fixed point representation at compile time  ,microcontroller c
155,how to choose a good imu for a wheeled robot ,at our lab  we have a several  kurt  type robots  about the size of a pioneer  six wheels  differential drive   the built in gyroscopes are by now really outdated  the main problem is that the gyroscopes have a large drift that increases as the gyro heats up  the error is up to    s   we mainly use the imu to get initial pose estimates that are later corrected by some localization algorithm  but even so the large initial pose error caused by the imu is often annoying  we ve temporarily used an android phone  galaxy s   as a replacement imu  and the results are so much better compared to the old imus  however  i don t like depending on a wifi connection between imu and the control computer  a laptop running ros ubuntu   so we re looking to buy a new imu  what imu should we choose  what criteria are important to consider for our application  please share your experiences      ,ros imu odometry gyroscope ugv
167,what are good strategies for tuning pid loops ,tuning controller gains can be difficult  what general strategies work well to get a stable system that converges to the right solution  ,control pid tuning
172,absolute positioning without gps,using an imu a robot can estimate its current position relative to its starting position  but this incurs error over time  gps is especially useful for providing position information not biased by local error accumulation  but gps cannot be used indoors  and even outdoors it can be spotty  so what are some methods or sensors that a robot can use to localize  relative to some frame of reference  without using gps   ,localization gps sensors slam
178,hmms vs  crfs to model time series force data of robots interacting with environment ,i have a time series of force data of robots interacting with environment objects with various textures  i would like to develop models of various textures using the time series data to classify textures into smooth  rough  moderate  etc  categories  for this purpose  will hidden markov models be sufficient or should i use conditional random fields  if i decide to classify into more categories and the distinction between each of are categories are very subtle  in that case what would be a good choice  will force data be sufficient to capture all the information i need to classify textures into these categories  thanks for your replies    ,artificial-intelligence
182,suitable control algorithm for air muscle based joint ,i have a joint actuated by an antagonistic pair of pneumatic muscles   there are two valves per muscle  one to fill and one to empty each muscle  the joint has an angle sensor  and each muscle also contain an air pressure sensor  what is a suitable control algorithm set up   a pid controller controlling the valve orifice sizes  a pid controller controlling the mass flow rate  a pid controller controlling the pressure using two pid pressure controllers  a fuzzy logic controller  a neural network   ,control pid air-muscle
184,robotics trends,robotics has always been one of those engineering fields which has promised so much  but is taking a long time to deliver all the things that people imagine  when someone asks   how long before we have  x  type of robots   are there any resources we can call upon to try to calculate a rough answer  these resources might include   rate of progress of computational power  and some estimate of how much will be needed for various types of ai  rate of progress of electrical energy storage density  and some estimate of how much will be needed for various types of robot  rate of progress of actuation systems  and some estimate of what would be needed for various types of robot  lists of milestones towards various types of robot  and which ones have been achieved and when   are these types of studies performed  and are the results published   added  in response to jakob s comment  i am not looking for opinions or discussions on this subject  what i am looking for are published studies which might shed light on this question  ,research
205,creating a fast  uniform  linear actuator,most of the linear actuators i ve seen are nonuniform and or slow  those using a cam or crankshaft like mechanism  and nearly anything hydraulic pneumatic  cannot be moved at a constant speed without some programming  those using a screw like mechanism are uniform  but slow   aside from a rack and pinion rope wound around a stick  what other fast  uniform linear actuators exist  by uniform  i mean that the speed is uniform  or the distance moved is linearly dependant on the angle rotated by the motor  ,actuator
209,how to determine quality of icp matches ,in slam frontends which use the iterative closest point  icp  algorithm for identifying the association between two matching point clouds  how can you determine if the algorithm is stuck in a local minimum and returns a wrong result   the problem is defined as matching two pointclouds which are both samples of some arbitrary surface structure  and the sampled areas have an overlap of        which is unknown  i know the trimmed icp variant works by iteratively trying to determine the overlap  but even this one can be stuck in a local minimum   a naive approach would be to look a the mean square error of the identified point pairs  but without some estimate of the sampling this seems a risky thresholding  in the manual for the leica cyclone they suggest manual inspection of the pair error histogram  if it has a gaussian shape the fit is good  if there is a linear fall off the match is probably bad  this seems plausible for me  but i ve never seen it used in an algorithm  ,slam
210,how can i automatically adjust pid parameters on the fly ,i have a simple servo system that uses a pid controller implemented in an mcu to perform the feedback  however  the properties of the system change dynamically  and so the pid parameters can never be tuned for all circumstances  my robot is a light weight arm with back drivable electric motors  similar to this one   the arm performs several tasks  including picking up heavy weights  pushing and pulling objects across the desk  each of these tasks requires different pid tuning parameters which i cannot easily predict  what i would really like is for some higher level function which can carefully adjust the parameters in response to the arm s behaviour  for example  if it notices that the arm is oscillating  it might reduce p and increase d  or if it noticed that the arm wasn t reaching its target  it might increase i  do such algorithms exist  i would be happy even if the algorithm didn t perfect the parameters immediately  e g  the arm could oscillate a few times before the parameters were adjusted to their new values   ,control pid automatic tuning
213,how can i integrate a smart phone with my robotics project ,smart phones these days typically come with a gyroscope  accelerometer  compass  camera  and gps sensor all on board  they also usually have a connection to the internet with wifi and mobile data networks  i ve seen many cases of using a phone as a remote control for a robot  but to me  it seems like the phone itself is a perfect lightweight computing and sensing platform for an autonomous robot  the main obstacle i see is interfacing with actuators  being able to control motors to steer even a table top robot  or control servos  for example  connecting and communicating to a microcontroller could be an obstacle as well   as a robot hobbyist  i d like to know how i can overcome these and other obstacles to be able to harness the power of my smart phone with my robotics projects  ,actuator
215,starting out advice on making robots and tinkering with microcontrollers,i d like to start making robots and tinkering with microcontrollers  where do i start  and what do i need  i d like to make my own robots  i m comfortable with programming  assembly and c  so i ve got that part covered  but my electronics circuits knowledge is a little weak  i have no idea what material to start with and which tools i need  nor how to put stuff together  for the microcontroller  i m thinking about going with the pololu orangutan lv     or the arduino duemilanove  although i m leaning more towards the orangutan because of the built in lcd and pushbuttons  which i would expect to use  especially for debugging and user interaction   am i on the right track  it seems to me like the number of i o ports is small  but is that the case in practice  ,arduino microcontroller beginner
222,floor segmentation to determine navigable paths,in my application  my robot has the following physical setup   differential drive mechanics with feedback  wheel encoders  commercially available webcam mounted with a known transform to the base of the robot  rgb  no depth   the robot will be navigating through a structured  indoor type environment  think office  home  or university   and i would like to be able to determine the navigable paths through the environment using my vision sensor  what is the best way to approach the problem of finding safe paths to travel when given a single vision sensor  edit   i think that i am more interested in the vision processing techniques than the actual path planning mechanics  ,computer-vision
229,red  error  output in python in ros,in ros  i cannot get  error  logs to print in red when i use python  how can i make them appear in red instead of black   for example  the following python   produces this output in black    error   walltime                    no analog input received    whereas the following c    ros error  no analog input received      produces the following output in red    error                      no analog input received   ,ros python
230,can ros run on a raspberry pi ,can ros run on a raspberry pi  ros is resigned to run on a network of machines  with different machines  even different cores on the same machine doing different jobs  can one of those machines be a raspberry pi  i am considering using an r pi as the ethercat master on a mobile robot  communicating with the main pc over wifi  using a dongle   can an r pi even run ros at all  would an r pi have enough processing power to do some  khz servoing  would it be possible to run some servoing on the host through the wifi connecion   ,ros raspberry-pi wifi
231,what frequency does my quadcopter output sense calculate output update loop need to stay stable ,with a     mm    foot  motor to motor quadcopter  what frequency does my output sense calculate output update loop need to stay stable  i m estimating a total takeoff weight of very roughly   pounds       kg    which i expect to be mostly motors and batteries  ,stability quadcopter
